# Batch 28 — jpforgotten: manifest rows generated from docs/review-sources-batch25.jpforgotten.txt
# (72 pre-verified-live old/legacy Japanese portals). Every row below was individually
# WebFetch-inspected this session for a real extractable structure (html anchor-link list,
# or a genuine CSV/data export) — no field is guessed. Low yield is expected on this beat:
# most candidates were single static pages, search forms with zero default results, or
# member rosters whose links point off-site with no shared internal href substring, none of
# which html mode can extract. See docs/rejected-sources-batch28.jpforgotten.tsv for the 55
# dropped URLs and their per-URL reasons. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO28_TOKYO_TAKKEN_BLOCK7|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 7|東京都宅建協会 会員検索（第七ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block7|https://www.tokyo-takken.or.jp/search-member/list/block7|Block 7 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK8|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 8|東京都宅建協会 会員検索（第八ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block8|https://www.tokyo-takken.or.jp/search-member/list/block8|Block 8 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK9|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 9|東京都宅建協会 会員検索（第九ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block9|https://www.tokyo-takken.or.jp/search-member/list/block9|Block 9 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK10|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 10|東京都宅建協会 会員検索（第十ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block10|https://www.tokyo-takken.or.jp/search-member/list/block10|Block 10 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK11|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 11|東京都宅建協会 会員検索（第十一ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block11|https://www.tokyo-takken.or.jp/search-member/list/block11|Block 11 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK12|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 12|東京都宅建協会 会員検索（第十二ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block12|https://www.tokyo-takken.or.jp/search-member/list/block12|Block 12 of the Tokyo Real Estate Transaction Association's registry (stated 1,222 matching records). Confirmed a real default listing with per-broker detail links (search-member/detail/ID) reachable with no search submitted.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_CHIBA_VMA_HOSPITAL_CHIBA|html|any|directory|member-listing|japan,veterinary,directory,chiba|https://www.cpvma.com|Chiba Veterinary Medical Association Member Hospital Directory — Chiba District|千葉県獣医師会 所属会員病院一覧（千葉地区）|https://www.cpvma.com/hospital/chiba.html|https://www.cpvma.com/hospital/chiba.html|The Chiba district sub-page of the Chiba Veterinary Medical Association's member hospital directory (site copyright dates to 2002) carries confirmed real per-hospital detail links (chiba/detail_chiba_N.html). This row covers the Chiba district only — the other 12 districts listed from the parent hospital.html page use an analogous but individually unverified detail_&lt;district&gt;_N.html naming and are not included here to avoid guessing.|href_must=chiba/detail_chiba_;base=https://www.cpvma.com/hospital/;interval=2592000
JO28_BMALL_TENDER_BOARD|html|any|directory|tender-listing|japan,tender,b2b,chamber-of-commerce,procurement|https://www.b-mall.ne.jp|The Business Mall — Tender/Negotiation Board|ザ・ビジネスモール 案件検索|https://www.b-mall.ne.jp/ankensearch/|https://www.b-mall.ne.jp/ankensearch/|The Business Mall's live buy/sell negotiation board, the shared backend tender system behind many individual chamber "member search" pages, shows a default listing of the 10 most recent of 88 total open tenders with confirmed real detail links (ankendetail/?REQ_CD=ID). Deeper pages beyond the first 10 are loaded via a javascript onclick handler rather than a real href.|href_must=/ankendetail/?REQ_CD=;base=https://www.b-mall.ne.jp;interval=3600;pagination_ok=confirmed pages beyond the first are loaded via javascript onclick, not a real href, so only the default first page of the 88 open tenders is reachable here
JO28_NIIGATA_CCI_NEWS_ARCHIVE|html|any|directory|news-item|japan,chamber-of-commerce,news,niigata|https://www.niigata-cci.or.jp|Niigata Chamber of Commerce News Archive|新潟商工会議所 お知らせ|https://www.niigata-cci.or.jp/|https://www.niigata-cci.or.jp/|Niigata Chamber of Commerce's homepage carries a confirmed real news/announcement feed (archives/ID) rather than a member-company directory — the member search itself is hosted off-domain at niigata-cci.net with no per-item links found on this page. This row captures the on-domain news feed as the only genuinely extractable structure found.|href_must=/archives/;base=https://www.niigata-cci.or.jp;interval=86400
JO28_OKAYAMA_CCI_MEMBER_INTRO|html|any|directory|member-listing|japan,chamber-of-commerce,directory,okayama|https://okayama-cci.or.jp|Okayama Chamber of Commerce Member Introduction Feed|岡山商工会議所 会員情報プラザ|https://okayama-cci.or.jp/member_introduction/|https://okayama-cci.or.jp/member_introduction/|Okayama Chamber of Commerce runs a member-exclusive "member_introduction" spotlight feed with confirmed real per-member detail links (member_introduction/ID.html), a default listing reachable with no search needed. Pagination is confirmed to run to at least page 7 via a path-based /member_introduction/page/N scheme this row's single fetch cannot traverse.|href_must=/member_introduction/;base=https://okayama-cci.or.jp;interval=86400;pagination_ok=confirmed further pages exist at the path-based /member_introduction/page/N, not a query string this manifest's page_param opt can target, so only the default first page is reachable here
JO28_GOVBOOK_SHOP_DIRECTORY|html|any|legacy-gov|directory-listing|japan,gazette,legal-notice,directory|https://www.gov-book.or.jp|National Federation of Official Gazette Sales Cooperatives — Shop Directory|全国官報販売協同組合 官報販売所一覧|https://www.gov-book.or.jp/portal/shop/|https://www.gov-book.or.jp/portal/shop/|The National Federation of Official Gazette Sales Cooperatives' shop portal links 47 confirmed per-prefecture gazette-service-center directory pages, the distribution-side view of Japan's statutory-notice pipeline rarely linked from mainstream sources. All 47 prefecture links are present on the one page fetched with no pagination.|href_must=/portal/shop/;base=https://www.gov-book.or.jp;interval=2592000;pagination_ok=all 47 prefecture shop directory links are present on this single page
JO28_NPMH_KOMONJO_CATALOG|html|any|local-history|historical-record|japan,local-history,archive,nagano,komonjo|https://www.npmh.net|Nagano Prefectural Museum of History Old-Document Catalog|長野県立歴史館 古文書目録|https://www.npmh.net/books/komonjo/|https://www.npmh.net/books/komonjo/|Nagano Prefectural Museum of History's donor-organized old-document catalog (e.g. the 米山一政収集文書 collection) shows a confirmed default listing of the stated 382 total records, 10 per page, with real per-item detail links (books/komonjo/YYYY/MM/id-NNN.php). A confirmed page-2 link (?p=2) establishes the pagination scheme across the roughly 39 pages the total implies.|href_must=/books/komonjo/;base=https://www.npmh.net;page_param=p;page_start=1;interval=604800
JO28_KOKUGAKUIN_DMUSEUM_INDEX|html|any|archive|database-index|japan,shinto,archive,kokugakuin,directory|https://d-museum.kokugakuin.ac.jp|Kokugakuin University Digital Museum|國學院大學デジタル・ミュージアム|https://d-museum.kokugakuin.ac.jp/database/|https://d-museum.kokugakuin.ac.jp/database/|Kokugakuin University's digital museum landing page links 23 confirmed sub-database entries (search_by_word/id=NNNNN), each a distinct linked database (e.g. Shinto clergy and shrine-hierarchy records) rather than an individual artifact record. This row captures the directory-of-databases layer the museum's 27+ linked databases fan out from.|href_must=/search_by_word/id=;base=https://d-museum.kokugakuin.ac.jp;interval=2592000;pagination_ok=all confirmed sub-database entries are linked directly from this single landing page
JO28_YOKOHAMA_ARCHIVE_YCMH|html|any|local-history|historical-record|japan,local-history,archive,yokohama,museum|https://archive.ycmh.jp|Yokohama History Museum Digital Archive|横浜市歴史博物館デジタルアーカイブ|https://archive.ycmh.jp/|https://archive.ycmh.jp/|The Yokohama History Museum's digital archive (reached via a 301 redirect from the museum's own /research/collection/ page, at the separate archive.ycmh.jp domain) shows a confirmed default "PICK UP ARCHIVE" listing of 26 real per-item links (detail/?data_id=ID) drawn from the museum's stated roughly 120,000-item collection, covering Heian-period Buddhist statuary and Yokohama-e paintings.|href_must=/detail/?data_id=;base=https://archive.ycmh.jp;interval=604800;pagination_ok=only the default 26-item PICK UP selection is confirmed reachable without a submitted search query, the remainder of the roughly 120,000-item collection sits behind search
JO28_ASAI_DIARY_VIEWS|html|any|local-history|historical-record|japan,local-history,archive,meiji,diary|https://asaidiary.chibi-archive.jp|Asai Chu Diary Digital Archive|浅井忠日記資料デジタルアーカイブ|https://asaidiary.chibi-archive.jp/view/|https://asaidiary.chibi-archive.jp/view/|The single-artist microsite transcribing Meiji-era Western-painting pioneer Asai Chu's travel diaries (1879-1901) links 6 confirmed per-diary transcription pages (view/DIARY-ID/) from its one browse page, the kind of one-off project site search engines rarely surface.|href_must=/view/;base=https://asaidiary.chibi-archive.jp;interval=2592000;pagination_ok=all 6 diary transcription entries are linked directly from this single browse page
JO28_ICHIKAWA_DIGITAL_MUSEUM_WORKS|html|any|local-history|historical-record|japan,local-history,archive,ichikawa,art|https://ichikawa-digitalmuseum.com|Ichikawa Digital Museum|いちかわデジタルミュージアム|https://ichikawa-digitalmuseum.com/|https://ichikawa-digitalmuseum.com/|Ichikawa Digital Museum's homepage shows a confirmed static default listing of 12 real per-artwork links (works/SLUG/) requiring no search submission, a small municipal site with VR reconstructions of past exhibitions outside the major-platform ecosystem.|href_must=/works/;base=https://ichikawa-digitalmuseum.com;interval=2592000;pagination_ok=all 12 confirmed artwork links are linked directly from the homepage, no pagination controls were found
